learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,balanced,val_pr_auc,val_roc_auc,secs
0.2,100,7,500,0.0,True,0.3268420628781141,0.7939098878883522,4.0244300365448
0.03,400,31,50,10.0,True,0.3062792499890839,0.7708919615633858,17.501700162887573
0.03,800,15,500,0.1,True,0.3038554498710876,0.7817710397280135,24.120604753494263
0.05,200,31,500,0.0,True,0.3027858330797875,0.7813787684269171,9.979915142059326
0.1,100,63,200,0.0,True,0.3018446488280755,0.7782282871825116,5.305988073348999
0.1,100,31,200,10.0,True,0.2994839578585003,0.7821313174254998,4.75871205329895
0.05,200,15,500,10.0,True,0.2990384643410452,0.7812000282056542,8.001595973968506
0.05,800,31,500,10.0,True,0.2965958282851891,0.7769474430758616,28.047504901885983
0.01,800,7,500,10.0,True,0.2957775105780063,0.7730717152068103,24.106776237487793
0.01,200,63,200,0.1,True,0.2956780238309154,0.7645497031413173,12.273343086242676
0.05,200,15,500,0.0,False,0.2950597555266587,0.7678984252620096,7.944813966751099
0.03,200,15,500,1.0,True,0.2947307517914762,0.7750043197192489,8.31570315361023
0.03,800,31,20,10.0,True,0.2945558323607517,0.76679341485389,32.446187019348145
0.03,100,63,500,0.0,False,0.2942829781794497,0.7768117033650976,6.448329210281372
0.05,100,63,200,0.1,False,0.2938543255712506,0.7667656754088654,5.2955451011657715
0.01,200,63,50,1.0,True,0.2926998560916788,0.7634172810914889,12.102779865264893
0.01,800,7,100,10.0,True,0.2915185425142382,0.7656555512690213,25.956918001174927
0.2,100,63,500,0.0,False,0.2904608642664094,0.7641870142683314,5.711267948150635
0.01,100,7,50,0.0,False,0.28970409591685,0.7562353508340481,4.066619157791138
0.2,800,7,500,10.0,False,0.2893707983499325,0.7709759447728628,20.78227400779724
0.1,400,63,50,10.0,True,0.2880772441573733,0.7642391422800425,17.13164210319519
0.1,200,7,100,10.0,True,0.2872033127610154,0.7729886644156534,5.693644046783447
0.05,800,63,100,10.0,True,0.2871385818282169,0.7586430953257871,31.115444898605347
0.1,200,63,100,10.0,True,0.2858825807474537,0.7626791845768685,10.0449640750885
0.2,800,31,500,10.0,False,0.2851270412414248,0.7725639405863045,29.833396911621097
0.05,400,63,200,1.0,True,0.2847703174938341,0.7706506910385276,20.876166105270386
0.03,400,63,50,0.1,True,0.2831964177800082,0.7665580375041958,20.948989868164062
0.05,800,15,500,1.0,False,0.2819203016243968,0.7681253962777862,27.676403999328613
0.03,100,31,500,0.1,True,0.2818606185389153,0.7661864833726503,5.361629247665405
0.05,200,15,100,0.0,True,0.2802789627777471,0.7634587518531815,7.948754787445068
0.1,800,7,100,10.0,True,0.2798837126898916,0.7626330881461658,21.45446395874023
0.05,200,63,20,10.0,False,0.2778320333465923,0.759798172226988,11.175194025039673
0.2,800,7,20,0.0,True,0.277800017629619,0.7671668556756304,20.81139302253723
0.03,400,7,500,10.0,False,0.2744932754696164,0.7567298749160823,12.800870895385742
0.1,200,31,20,10.0,False,0.2743584349665356,0.7580499170147695,7.771208047866821
0.2,200,7,500,10.0,False,0.2730474904271134,0.7555175052798188,6.331620931625366
0.1,400,31,50,10.0,False,0.2726054505020354,0.7623701097572915,15.304530143737791
0.03,800,15,50,1.0,True,0.2721364814649395,0.7596225060723742,26.111971855163578
0.01,200,15,200,1.0,True,0.2713682015066708,0.757746932052346,9.473448991775513
0.05,400,31,100,0.0,True,0.2712386657222819,0.7580328930959086,14.784452199935911
0.01,100,15,500,0.1,True,0.2707239727342216,0.7591121745860063,4.9363319873809814
0.03,100,15,500,1.0,False,0.2702041884979372,0.7552268821446555,4.026828765869141
0.1,800,7,100,1.0,False,0.26993840525325,0.7556388653518015,19.06613802909851
0.1,800,7,100,0.1,False,0.2687391092564516,0.7531151003398665,21.83506679534912
0.1,800,31,50,0.0,True,0.2687061483072753,0.7499420006666792,26.15935182571411
0.2,800,15,200,10.0,True,0.2653964800868909,0.7602538115512643,24.796392917633057
0.01,100,7,500,1.0,True,0.2644002983180135,0.7533891949034014,4.795483112335205
0.01,100,7,200,1.0,True,0.2644002983180135,0.7533891949034014,4.594586133956909
0.2,400,31,50,10.0,False,0.2633542659402004,0.7411197936092049,14.877294063568115
0.05,200,31,100,0.1,False,0.2625011377774788,0.746746923602305,8.774174928665161
0.2,800,31,50,10.0,False,0.260069249794575,0.7422431828565568,26.04051113128662
0.1,800,63,20,0.0,True,0.257604272588373,0.7428040470451663,26.454172134399418
0.05,400,63,100,0.1,False,0.2543257834339404,0.7520095217393331,18.784653663635257
0.01,400,63,50,0.1,False,0.2508970585707127,0.7371461836700917,23.985257148742676
0.03,800,7,50,0.0,False,0.2505530472328119,0.7293464607148852,23.254254817962646
0.05,800,31,50,0.0,False,0.2481392009166083,0.7368614464255744,23.8613600730896
0.01,200,15,100,0.1,False,0.2455743753021705,0.7304721300164105,9.209995031356812
0.03,800,7,100,0.1,False,0.2385199936940606,0.7293431316901013,21.29353928565979
0.2,400,31,50,0.1,False,0.2157562501620841,0.7250110433294794,13.96597409248352
0.05,100,15,50,0.1,False,0.2066477483836127,0.7076310645070305,4.417918920516968
