product,pairs,r,rho,mean_change_s,median_change_s,drift_s_per_min,p_late_next_given_late,p_late_next_given_ontime,n_late_k,median_gap_s
suburban,74767,0.8779294138584699,0.7047355242210085,3.089598352214212,0.0,0.5071901061609088,0.7958524104497711,0.01635375911278746,3713,420.0
subway,18153,0.5091055733251227,0.3293111459383895,11.508841513799371,0.0,0.7609125930438253,0.8053435114503816,0.026270191716505506,262,1200.0
bus,12181,0.5476709311894057,0.1943181201839258,44.523438141367706,0.0,3.601444387117486,0.6842105263157895,0.12959089768259013,228,1380.0
tram,10154,0.6869520520616766,0.4773997942850985,65.77309434705535,0.0,2.350381771537917,0.9128137384412153,0.16973502181547304,757,2100.0
