model,roc_auc,pr_auc,brier,pos_rate,pr_auc_lift_vs_base,fit_s,notes
6c. Blend: 0.5 * (tuned HistGB + smoothed lookup),0.8016359308114553,0.16201946297877554,0.037663406394733166,0.017381633301557037,9.32130255930908,0.0,rank-and-probability average of the two best single models
"2. Lookup (line_name, hour)  [THE BAR]",0.7649744402576641,0.15669567695358033,0.01575487907661684,0.017381633301557037,9.015014540638342,0.028294801712036133,"historical train rate per group, global rate for unseen groups"
"2c. Lookup (line, stop, hour) + smoothing",0.7711788291623216,0.15662408573527423,0.016089401384176118,0.017381633301557037,9.010895755190274,0.042353153228759766,finer group; tests whether the bar itself can simply be raised
"2b. Lookup (line, hour) + smoothing m=20",0.7756281436446404,0.15609165658214752,0.016089368599783247,0.017381633301557037,8.980264045046038,0.024543046951293945,empirical-Bayes shrink of small groups toward the global rate
5b. HistGB untuned + balanced sample_weight,0.8102736578519234,0.14791464165934776,0.10656994094774824,0.017381633301557037,8.509824082302877,3.7188680171966553,isolates the effect of imbalance handling alone
5c. HistGB TUNED (random search on inner val),0.7952708032648884,0.14642594488062463,0.10921600937088377,0.017381633301557037,8.424176390115644,2.881748914718628,"{'learning_rate': 0.2, 'max_iter': 100, 'max_leaf_nodes': 7, 'min_samples_leaf': 500, 'l2_regularization': 0.0, 'balanced': True}"
"4. RandomForest (class_weight=None, min_samples_leaf=200)",0.8228087371705424,0.14467137470249197,0.01610470774093335,0.017381633301557037,8.32323247145781,159.92305517196655,ordinal-encoded cats
"4. RandomForest (class_weight=balanced_subsample, min_samples_leaf=200)",0.8247514791856945,0.14455741695462276,0.11867073985539524,0.017381633301557037,8.31667625514073,3.7433249950408936,ordinal-encoded cats [inner-search pick]
"6b. HistGB tuned + OOF (line,hour) rate feature",0.8041981347666589,0.1410031156258116,0.08585682536166923,0.017381633301557037,8.1121902170828,73.82609295845032,target encoding computed out-of-fold on train only
3. LogisticRegression,0.8005026092113802,0.1371352516272289,0.01597216611593328,0.017381633301557037,7.889664293800537,1.1662583351135254,"one-hot cats (min_freq 20), standardised numerics"
6a. ExtraTrees,0.805894887761847,0.1369203139199204,0.016373445436121625,0.017381633301557037,7.877298499195422,11.149702787399292,
3. LogisticRegression [class_weight=balanced],0.7973299442662353,0.134881300307565,0.14485909232528857,0.017381633301557037,7.759989982959911,2.9273250102996826,"one-hot cats (min_freq 20), standardised numerics"
7. HistGB tuned + sigmoid calibration,0.7507518158123607,0.11545817892207082,0.0163370887898655,0.017381633301557037,6.642539105443453,0.36873602867126465,calibrator fit on the held-out inner validation slice
7. HistGB tuned + isotonic calibration,0.7488093915647412,0.10259569291270419,0.016264638078484515,0.017381633301557037,5.902534654410971,0.3365020751953125,calibrator fit on the held-out inner validation slice
5. HistGB untuned (sklearn defaults),0.7945561662538447,0.08894705187142479,0.01865864665433924,0.017381633301557037,5.117301137831332,186.71513295173645,reproduction of the previously reported model
1. Dummy (train base rate),0.5,0.017381633301557037,0.01708489204044732,0.017381633301557037,1.0,0.005682945251464844,no-skill floor; PR-AUC == test base rate by construction
