model,pr_auc,delta_vs_bar,ci95_lo,ci95_hi,p_not_better,significant
6c. Blend: 0.5 * (tuned HistGB + smoothed lookup),0.16201946297877554,0.005323786025195204,-0.004049221263452433,0.015974328993961208,0.17333333333333334,False
"2. Lookup (line_name, hour)  [THE BAR]",0.15669567695358033,0.0,0.0,0.0,1.0,False
"2c. Lookup (line, stop, hour) + smoothing",0.15662408573527423,-7.159121830610515e-05,-0.007978711753435933,0.007055132696710464,0.5433333333333333,False
"2b. Lookup (line, hour) + smoothing m=20",0.15609165658214752,-0.0006040203714328118,-0.007572043806570325,0.005520843409099385,0.61,False
